scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
compound_drawdown_undershoot_01,fixed,0.7777777777777778,139.43022963339004,131.72858466127613,127.93720681483485,0,0.0,101.53055740434517,57,3.0,3.0,0.0,0.0,129.16136967057147,3.0,False,True,0.6132302736785359,2.0,3.0,2.0,2.0,3.0,3.0,2.6,1,25.382639351086294,166.58614206962363
compound_drawdown_undershoot_01,twap,0.7777777777777778,393.1975091439988,350.8080130108905,331.68633480082735,0,0.0,91.15471683954769,55,5.0,5.0,0.0,0.0,336.6781809665211,5.0,False,True,0.4338036162327982,4.0,4.0,2.0,1.0,4.0,2.0,2.6,2,22.788679209886922,449.1073902968902
compound_drawdown_undershoot_01,buffer,0.7638888888888888,39.915584065727984,33.964204005836095,32.10075339561905,0,0.0,106.3896053552468,58,2.0,2.0,0.0,0.0,31.980410652538794,2.0,False,True,0.7038882307129218,1.0,2.0,2.0,4.0,2.0,4.0,2.8,1,26.5974013388117,43.94310002226809
compound_drawdown_undershoot_01,uspl,0.013888888888888888,2.1960641814783344,2.1960641814783344,2.1960641814783344,5,28.63193595141184,106.34875049670619,11,-8.0,0.0,8.0,0.02930490785742758,32.797507823351104,0.0,False,True,0.568298837365852,3.0,1.0,4.0,3.0,1.0,1.0,2.0,3,55.219123575588384,2.745080226847918
compound_drawdown_undershoot_02,fixed,0.2638888888888889,65.49291580262383,53.22355135146084,49.80870189044506,0,0.0,101.45826897745022,21,3.0,3.0,0.0,0.0,49.13376320107317,3.0,False,True,0.6782106206218523,1.5,2.5,2.0,3.5,2.5,3.5,2.8,1,25.364567244362554,69.5967803021168
compound_drawdown_undershoot_02,twap,0.2638888888888889,309.6872997614166,264.04573077119323,251.51267211330267,0,0.0,91.47336341544793,19,5.0,5.0,0.0,0.0,248.8318744411188,5.0,False,True,0.4423060869764729,4.0,4.0,2.0,1.0,4.0,2.0,2.6,2,22.868340853861984,341.4675557115474
compound_drawdown_undershoot_02,buffer,0.2638888888888889,65.49291580262383,53.22355135146084,49.80870189044506,0,0.0,101.45826897745022,21,3.0,3.0,0.0,0.0,49.13376320107317,3.0,False,True,0.6782106206218523,1.5,2.5,2.0,3.5,2.5,3.5,2.8,1,25.364567244362554,69.5967803021168
compound_drawdown_undershoot_02,uspl,0.0,0.0,0.0,0.0,3,27.263822500033314,96.49816177481,8,-43.0,0.0,43.0,0.10875009916963521,148.33590725387722,0.0,True,True,0.5611560005614153,3.0,1.0,4.0,2.0,1.0,1.0,1.8,3,51.388362943735814,0.0
compound_drawdown_undershoot_03,fixed,0.2638888888888889,96.09218249141367,85.72675905477541,78.67468771433383,0,0.0,101.48728109895498,20,3.0,3.0,0.0,0.0,82.27161790922932,3.0,False,True,0.6202352031546111,2.0,3.0,1.5,3.0,3.0,4.0,2.9,1,25.371820274738745,109.74980467762883
compound_drawdown_undershoot_03,twap,0.25,344.24834932812405,299.9620666045231,288.01125371625716,0,0.0,91.34086337625031,18,5.0,5.0,0.0,0.0,285.1999723633228,5.0,False,True,0.4273142412705071,4.0,4.0,1.5,1.0,4.0,3.0,2.7,2,22.835215844062578,386.0241539365541
compound_drawdown_undershoot_03,buffer,0.0,0.0,0.0,0.0,1,3.300026937325514,102.30083505709094,5,2.0,2.0,0.0,0.04897221981061435,66.00053874651027,2.0,True,True,0.8094989194766582,1.0,1.5,3.0,4.0,2.0,1.0,2.3,2,28.87523570159825,0.0
compound_drawdown_undershoot_03,uspl,0.0,0.0,0.0,0.0,3,28.15631263866839,98.78768985235473,9,-42.0,0.0,42.0,0.09994795006125777,136.26344284123377,0.0,True,True,0.5671073772706517,3.0,1.5,4.0,2.0,1.0,2.0,2.1,2,52.85323510175707,0.0
compound_drawdown_undershoot_04,fixed,0.0,0.0,0.0,0.0,1,32.50536306822149,97.51608920466447,2,2.0,2.0,0.0,0.3492670532368873,650.1072613644297,2.0,True,True,0.6317335418794077,1.0,2.5,2.0,3.0,3.0,2.0,2.5,2,56.88438536938761,0.0
compound_drawdown_undershoot_04,twap,0.0,0.0,0.0,0.0,0,0.0,97.51608920466447,2,4.0,4.0,0.0,0.3071037809308496,650.1072613644297,4.0,True,True,0.5063787454221966,3.0,2.5,1.0,3.0,4.0,2.0,2.5,3,24.379022301166117,0.0
compound_drawdown_undershoot_04,buffer,0.0,0.0,0.0,0.0,2,97.51608920466447,97.51608920466447,2,,0.0,0.0,0.38240156257980734,650.1072613644297,0.0,True,True,0.5980712185314051,2.0,2.5,4.0,3.0,1.5,2.0,2.6,3,121.89511150583058,0.0
compound_drawdown_undershoot_04,uspl,0.0,0.0,0.0,0.0,6,89.83772799304131,89.83772799304131,6,,0.0,0.0,0.4242735496671505,803.6744855968927,0.0,True,True,0.5061083232736759,4.0,2.5,3.0,1.0,1.5,4.0,2.4,3,112.29715999130164,0.0
compound_drawdown_undershoot_05,fixed,0.0,0.0,0.0,0.0,1,73.04552038596619,73.04552038596619,1,,0.0,0.0,0.6284821089784511,1460.9104077193238,0.0,True,True,0.6864004640559433,1.5,2.5,2.5,2.0,2.0,2.0,2.2,4,91.30690048245773,0.0
compound_drawdown_undershoot_05,twap,0.0,0.0,0.0,0.0,0,0.0,73.04552038596619,1,6.0,6.0,0.0,0.5710719580164901,1460.9104077193238,6.0,True,True,0.46854483344604314,4.0,2.5,1.0,2.0,4.0,2.0,2.3,4,18.261380096491546,0.0
compound_drawdown_undershoot_05,buffer,0.0,0.0,0.0,0.0,1,73.04552038596619,73.04552038596619,1,,0.0,0.0,0.6284821089784511,1460.9104077193238,0.0,True,True,0.6864004640559433,1.5,2.5,2.5,2.0,2.0,2.0,2.2,4,91.30690048245773,0.0
compound_drawdown_undershoot_05,uspl,0.0,0.0,0.0,0.0,3,90.0734924482023,90.0734924482023,3,,0.0,0.0,0.5440265413089325,1120.3509664746016,0.0,True,False,0.5314551665539569,3.0,2.5,4.0,4.0,2.0,4.0,3.3,2,112.59186556025287,0.0
compound_drawdown_undershoot_06,fixed,0.0,0.0,0.0,0.0,1,76.34350229699685,114.51525344549526,2,3.0,3.0,0.0,0.3463898876417361,763.4350229699684,3.0,True,True,0.8209971934412881,2.0,2.5,1.5,1.0,3.0,1.0,1.8,4,104.97231565837066,0.0
compound_drawdown_undershoot_06,twap,0.0,0.0,0.0,0.0,1,76.34350229699685,133.6011290197445,3,12.0,12.0,0.0,0.18286860350814022,381.7175114849842,12.0,True,False,0.44098287749441073,4.0,2.5,1.5,4.0,4.0,2.5,2.9,2,109.74378455193298,0.0
compound_drawdown_undershoot_06,buffer,0.0,0.0,0.0,0.0,2,95.42937787124606,133.60112901974446,3,-47.0,0.0,47.0,0.21876768010601133,381.7175114849842,0.0,True,True,0.8944980334520551,1.0,2.5,3.0,3.0,1.5,2.5,2.5,2,128.82966012618218,0.0
compound_drawdown_undershoot_06,uspl,0.0,0.0,0.0,0.0,13,126.70059087939802,126.70059087939802,13,,0.0,0.0,0.26834381814051467,519.7282742919132,0.0,True,True,0.5362082594951483,3.0,2.5,4.0,2.0,1.5,4.0,2.8,2,158.37573859924754,0.0
compound_drawdown_undershoot_07,fixed,0.0,0.0,0.0,0.0,2,114.80743393626415,114.80743393626415,2,3.0,3.0,0.0,0.3744506536455629,765.3828929084277,3.0,True,False,0.7022368181296911,2.0,2.5,3.5,1.5,3.0,1.5,2.4,3,143.50929242033018,0.0
compound_drawdown_undershoot_07,twap,0.0,0.0,0.0,0.0,2,28.701858484066037,143.50929242033018,4,26.0,26.0,0.0,0.09926142200646441,191.34572322710693,26.0,True,True,0.3450154092755225,4.0,2.5,1.0,4.0,4.0,3.0,2.9,2,64.57918158914859,0.0
compound_drawdown_undershoot_07,buffer,0.0,0.0,0.0,0.0,2,114.80743393626415,114.80743393626415,2,2.0,2.0,0.0,0.3852070819640134,765.3828929084277,2.0,True,True,0.709575998417693,1.0,2.5,3.5,1.5,1.5,1.5,2.1,4,143.50929242033018,0.0
compound_drawdown_undershoot_07,uspl,0.0,0.0,0.0,0.0,5,112.4672960395833,123.74730761587774,6,2.0,2.0,0.0,0.3015268741705386,586.5854193161564,2.0,True,True,0.5786505432591044,3.0,2.5,2.0,3.0,1.5,4.0,2.6,2,143.40412294355275,0.0
compound_drawdown_undershoot_08,fixed,0.0,0.0,0.0,0.0,2,95.85264701488381,134.19370582083732,3,3.0,3.0,0.0,0.20717644319408618,383.4105880595352,3.0,True,True,0.6325271114493365,2.0,2.5,2.5,2.0,3.0,2.0,2.4,2,129.40107347009314,0.0
compound_drawdown_undershoot_08,twap,0.0,0.0,0.0,0.0,0,0.0,134.19370582083735,3,11.0,11.0,0.0,0.18182085247662355,383.4105880595352,11.0,True,True,0.5014304117137094,3.0,2.5,1.0,3.5,4.0,2.0,2.6,3,33.54842645520934,0.0
compound_drawdown_undershoot_08,buffer,0.0,0.0,0.0,0.0,2,95.85264701488381,134.19370582083735,3,-47.0,0.0,47.0,0.20782852493753087,383.4105880595352,0.0,True,True,0.6987154871675653,1.0,2.5,2.5,3.5,1.5,2.0,2.4,3,129.40107347009314,0.0
compound_drawdown_undershoot_08,uspl,0.0,0.0,0.0,0.0,12,127.26598678942061,127.26598678942061,12,,0.0,0.0,0.26984028062185916,521.9649686878696,0.0,True,True,0.49856958828629067,4.0,2.5,4.0,1.0,1.5,4.0,2.6,3,159.08248348677577,0.0
compound_drawdown_undershoot_09,fixed,0.5833333333333334,64.81329344964075,60.500153022473775,58.23090809867457,0,0.0,106.48064835433041,44,3.0,3.0,0.0,0.0,59.06243954675144,3.0,False,True,0.5797019302534163,3.0,3.0,1.5,3.0,3.0,4.0,2.9,1,26.620162088582603,76.70347638488397
compound_drawdown_undershoot_09,twap,0.5833333333333334,273.17559432191916,256.9032106404585,248.16369780671198,0,0.0,96.85981619433608,42,5.0,5.0,0.0,0.0,251.47908274663826,5.0,False,True,0.37852589498378114,4.0,4.0,1.5,2.0,4.0,3.0,2.9,1,24.21495404858402,325.1971092209383
compound_drawdown_undershoot_09,buffer,0.0,0.0,0.0,0.0,2,68.39610645729249,95.7545490402095,3,-7.0,0.0,7.0,0.2137759223759912,273.58442582916996,0.0,True,True,0.6244577110393363,2.0,1.5,4.0,1.0,1.5,1.0,1.8,4,92.33474371734486,0.0
compound_drawdown_undershoot_09,uspl,0.0,0.0,0.0,0.0,6,37.65441523857832,106.53257457902362,12,-8.0,0.0,8.0,0.04664125499756315,58.02391505288752,0.0,True,True,0.7412084145744015,1.0,1.5,3.0,4.0,1.5,2.0,2.4,2,64.28755888333423,0.0
compound_drawdown_undershoot_10,fixed,0.0,0.0,0.0,0.0,1,16.30211092103897,114.11477644727279,3,3.0,3.0,0.0,0.2044188667857159,326.04221842077936,3.0,True,True,0.6797260247800535,1.0,2.5,2.0,4.0,3.0,3.0,2.9,1,44.83080503285717,0.0
compound_drawdown_undershoot_10,twap,0.0,0.0,0.0,0.0,0,0.0,97.81266552623381,2,6.0,6.0,0.0,0.31438914352438685,652.0844368415587,6.0,True,True,0.5399612675676215,3.0,2.5,1.0,1.5,4.0,1.5,2.1,4,24.453166381558454,0.0
compound_drawdown_undershoot_10,buffer,0.0,0.0,0.0,0.0,2,97.81266552623381,97.81266552623381,2,,0.0,0.0,0.3694341153163567,652.0844368415587,0.0,True,True,0.6307003745709368,2.0,2.5,3.0,1.5,1.5,1.5,2.0,4,122.26583190779226,0.0
compound_drawdown_undershoot_10,uspl,0.0,0.0,0.0,0.0,11,100.93915377249768,100.93915377249768,11,,0.0,0.0,0.32807689876096285,589.5546719162817,0.0,True,False,0.46135696843276314,4.0,2.5,4.0,3.0,1.5,4.0,3.0,2,126.17394221562209,0.0
