scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
normal,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1900.0,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
normal,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1900.0,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
normal,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1900.0,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
normal,uspl,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1900.0,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
drawdown,fixed,0.0,0.0,0.0,0.0,1,0.7421875,94.2578125,7,3.0,3.0,0.0,0.013502537374842716,14.84375,3.0,True,True,0.8417818716163009,2.0,2.0,3.0,4.0,3.0,2.0,2.8,1,24.306640625,0.0
drawdown,twap,0.5416666666666666,122.14121026476539,122.14121026476539,119.0000611017624,0,0.0,88.89293948676173,39,6.0,6.0,0.0,0.0,122.14121026476539,6.0,False,True,0.40833382132615487,4.0,4.0,1.0,1.0,4.0,4.0,2.8,2,22.223234871690433,152.67651283095674
drawdown,buffer,0.0,0.0,0.0,0.0,1,2.96875,92.03125,5,2.0,2.0,0.0,0.05317109489242486,59.375,2.0,True,True,0.5917479664766073,3.0,2.0,4.0,2.0,1.5,1.0,2.1,3,25.9765625,0.0
drawdown,uspl,0.0,0.0,0.0,0.0,3,0.4440592496387694,94.02537921422879,15,2.0,2.0,0.0,0.016227111834198355,19.49241571542408,2.0,True,True,0.8454640805385021,1.0,2.0,2.0,3.0,1.5,3.0,2.3,2,23.950404053195967,0.0
flash_crash,fixed,0.0,0.0,0.0,0.0,1,47.5,47.5,1,3.0,3.0,0.0,0.6313463837764806,950.0,3.0,True,False,0.0,3.0,2.5,3.0,3.0,3.0,3.0,2.9,1,59.375,0.0
flash_crash,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1900.0,0.0,True,True,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.3,5,0.0,0.0
flash_crash,buffer,0.0,0.0,0.0,0.0,1,47.5,47.5,1,3.0,3.0,0.0,0.6313463837764806,950.0,3.0,True,False,0.0,3.0,2.5,3.0,3.0,3.0,3.0,2.9,1,59.375,0.0
flash_crash,uspl,0.0,0.0,0.0,0.0,1,47.5,47.5,1,3.0,3.0,0.0,0.6313463837764806,950.0,3.0,True,False,0.0,3.0,2.5,3.0,3.0,3.0,3.0,2.9,1,59.375,0.0
