shock_ratio,drop_pct,length,mechanism,aggregate_mean_rank,aggregate_metric_win_count,pareto_efficient_count,solvency_violation_count,aggregate_topsis_score,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count
0.85,15.000000000000002,3,uspl,2.5,24,8,1,0.555011947907326,2.1960641814783344,2.1960641814783344,768.9907342508351,1066.7314362013321,91
0.85,15.000000000000002,3,buffer,2.35,28,10,2,0.7034017058046367,65.49291580262383,53.22355135146084,646.1598673338765,1056.879802323708,100
0.85,15.000000000000002,3,fixed,2.54,20,9,4,0.6644999181444136,139.43022963339004,131.72858466127613,408.85657762337144,1059.1495350755808,155
0.85,15.000000000000002,3,twap,2.6100000000000003,25,9,4,0.44842633843830637,393.1975091439988,350.8080130108905,105.04536078106288,1050.5071622033586,149
0.8,19.999999999999996,3,buffer,2.08,37,10,1,0.7140750154209228,39.915584065727984,33.964204005836095,838.2531097227172,972.001157660881,76
0.8,19.999999999999996,3,uspl,2.7199999999999998,22,5,1,0.5457554302399407,2.1960641814783344,2.1960641814783344,789.9545556024195,1061.1709988367575,81
0.8,19.999999999999996,3,fixed,2.49,24,7,3,0.6819449032422072,139.43022963339004,131.72858466127613,545.399504670659,1017.6923710694616,136
0.8,19.999999999999996,3,twap,2.71,23,10,4,0.47194454269880926,393.1975091439988,350.8080130108905,178.09088116702907,1050.5071622033586,149
0.75,25.0,3,buffer,2.17,34,10,1,0.73300751866756,39.915584065727984,33.964204005836095,880.5294036121961,1014.27745155036,79
0.75,25.0,3,uspl,2.7600000000000002,22,4,1,0.5505738273367803,2.1960641814783344,2.1960641814783344,891.3957950976586,1049.2707805596926,74
0.75,25.0,3,fixed,2.3400000000000003,28,7,2,0.6957428950643376,139.43022963339004,131.72858466127613,642.4702948464976,1013.3048922678499,118
0.75,25.0,3,twap,2.73,25,9,4,0.45189181717274474,393.1975091439988,350.8080130108905,210.93485955016075,1050.5071622033586,149
0.8,19.999999999999996,5,buffer,2.12,37,10,1,0.7629571666231197,39.915584065727984,33.964204005836095,845.0927203684464,978.8407683066102,77
0.8,19.999999999999996,5,uspl,2.8,22,4,1,0.5468179120465125,2.1960641814783344,2.1960641814783344,855.207923125604,1049.4246529039103,83
0.8,19.999999999999996,5,fixed,2.3600000000000003,30,7,2,0.7124986595208967,139.43022963339004,131.72858466127613,623.3357225237869,994.1703199451392,117
0.8,19.999999999999996,5,twap,2.7199999999999998,26,7,4,0.45420488056783953,393.1975091439988,350.8080130108905,303.4111651107415,1028.5528681471715,148
0.75,25.0,5,buffer,2.38,32,7,1,0.6967075194559845,39.915584065727984,33.964204005836095,917.0521638051792,1050.800211743343,80
0.75,25.0,5,uspl,2.7399999999999998,24,5,1,0.4405180443623725,2.1960641814783344,2.1960641814783344,883.890701770097,1041.765687232131,73
0.75,25.0,5,fixed,2.5,27,5,2,0.6967492238259567,139.43022963339004,131.72858466127613,658.7229763806083,1029.5575738019606,119
0.75,25.0,5,twap,2.38,35,8,2,0.5962571947858684,393.1975091439988,350.8080130108905,408.5076899916118,1002.8755057044135,115
