shock_ratio,shock_drop_pct,shock_length_days,mechanism,solvency_violation_count,aggregate_topsis_score,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count
0.85,15.000000000000002,2,twap,0,0.4,0.0,0.0,0.0,0.0,0
0.85,15.000000000000002,2,buffer,0,0.2832775424115052,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,2,fixed,0,0.2832775424115052,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,2,uspl,0,0.029578748802307726,0.0,0.0,96.90157993752422,96.90157993752422,9
0.85,15.000000000000002,3,twap,0,0.4,0.0,0.0,0.0,0.0,0
0.85,15.000000000000002,3,buffer,0,0.2832775424115052,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,3,fixed,0,0.2832775424115052,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,3,uspl,0,0.029578748802307726,0.0,0.0,104.6709255505825,104.6709255505825,10
0.85,15.000000000000002,4,twap,0,0.5,0.0,0.0,0.0,0.0,0
0.85,15.000000000000002,4,buffer,0,0.38848000388067894,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,4,fixed,0,0.38848000388067894,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,4,uspl,0,0.02070090491827853,0.0,0.0,119.53522475405826,119.53522475405826,12
0.85,15.000000000000002,5,twap,0,0.69007791431401,0.0,0.0,52.83428113827654,52.83428113827654,1
0.85,15.000000000000002,5,buffer,0,0.6339240965416637,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,5,fixed,0,0.6339240965416637,0.0,0.0,104.04279228454999,104.04279228454999,2
0.85,15.000000000000002,5,uspl,0,0.023815039563478684,0.0,0.0,134.39668673412274,134.39668673412274,14
0.8,19.999999999999996,2,twap,0,1.0,0.0,0.0,0.0,0.0,0
0.8,19.999999999999996,2,fixed,0,0.8828105610213359,0.0,0.0,104.04279228454999,104.04279228454999,2
0.8,19.999999999999996,2,buffer,0,0.7162503212456802,0.0,0.0,175.40328150635563,175.40328150635563,4
0.8,19.999999999999996,2,uspl,0,0.07193418621969774,0.0,0.0,204.60079339478793,204.60079339478793,16
0.8,19.999999999999996,3,twap,0,1.0,0.0,0.0,0.0,0.0,0
0.8,19.999999999999996,3,fixed,0,0.8262947938860993,0.0,0.0,140.9082145796056,140.9082145796056,3
0.8,19.999999999999996,3,buffer,0,0.7262947938860993,0.0,0.0,175.40328150635563,175.40328150635563,4
0.8,19.999999999999996,3,uspl,0,0.059565416922506796,0.0,0.0,209.84230179022043,209.84230179022043,17
0.8,19.999999999999996,4,twap,0,1.0,0.0,0.0,52.83428113827654,52.83428113827654,1
0.8,19.999999999999996,4,fixed,0,0.8842426133009976,0.0,0.0,140.9082145796056,140.9082145796056,3
0.8,19.999999999999996,4,buffer,0,0.7091673675970721,0.0,0.0,210.93813521927672,210.93813521927672,5
0.8,19.999999999999996,4,uspl,0,0.09693918887296414,0.0,0.0,216.89660525094487,216.89660525094487,18
0.8,19.999999999999996,5,twap,0,0.9971438013925118,0.0,0.0,104.04279228454999,104.04279228454999,2
0.8,19.999999999999996,5,fixed,0,0.9406280342572751,0.0,0.0,140.9082145796056,140.9082145796056,3
0.8,19.999999999999996,5,buffer,0,0.6903453218777913,0.0,0.0,246.4128189427618,246.4128189427618,6
0.8,19.999999999999996,5,uspl,0,0.13694193773754934,0.0,0.0,230.0231878080252,230.0231878080252,20
0.75,25.0,2,twap,0,1.0,0.0,0.0,0.0,0.0,0
0.75,25.0,2,fixed,0,0.22614617456096972,0.0,0.0,351.6282494177129,351.6282494177129,9
0.75,25.0,2,uspl,0,0.19651458653656065,0.0,0.0,319.90502238038124,319.90502238038124,16
0.75,25.0,2,buffer,0,0.12614617456096971,0.0,0.0,386.40335396705837,386.40335396705837,10
0.75,25.0,3,twap,0,1.0,0.0,0.0,52.83428113827654,52.83428113827654,1
0.75,25.0,3,fixed,0,0.2826192319485683,0.0,0.0,351.6282494177129,351.6282494177129,9
0.75,25.0,3,uspl,0,0.19651458653656065,0.0,0.0,319.90502238038124,319.90502238038124,16
0.75,25.0,3,buffer,0,0.1826192319485683,0.0,0.0,386.40335396705837,386.40335396705837,10
0.75,25.0,4,twap,0,1.0,0.0,0.0,104.04279228454999,104.04279228454999,2
0.75,25.0,4,fixed,0,0.3396170936411954,0.0,0.0,351.6282494177129,351.6282494177129,9
0.75,25.0,4,buffer,0,0.23961709364119543,0.0,0.0,386.40335396705837,386.40335396705837,10
0.75,25.0,4,uspl,0,0.19651458653656065,0.0,0.0,319.90502238038124,319.90502238038124,16
0.75,25.0,5,twap,0,1.0,0.0,0.0,104.04279228454999,104.04279228454999,2
0.75,25.0,5,fixed,0,0.3396170936411954,0.0,0.0,351.6282494177129,351.6282494177129,9
0.75,25.0,5,uspl,0,0.21970581239872672,0.0,0.0,319.90502238038124,319.90502238038124,16
0.75,25.0,5,buffer,0,0.17933693836722547,0.0,0.0,412.82049453619663,412.82049453619663,11
