scenario,mechanism,bad_debt_rate,max_bad_debt,bad_debt_es95,avg_bad_debt,false_liquidation_count,false_liquidation_loss,total_user_loss,liquidation_count,liquidation_timing,liquidation_delay,early_liquidation_lead,ending_collateral_eth,ending_debt_usdc,delay_for_score,solvency_feasible,pareto_efficient,topsis_score,topsis_rank,bad_debt_es95_rank,false_liquidation_loss_rank,total_user_loss_rank,liquidation_delay_rank,liquidation_count_rank,mean_rank,metric_win_count,user_risk_axis,protocol_risk_axis
real_normal_1,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
real_normal_1,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
real_normal_1,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
real_normal_1,uspl,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,1421.3941485168434,0.0,True,True,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,0.0,0.0
real_normal_2,fixed,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2048.340445850938,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
real_normal_2,twap,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2048.340445850938,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
real_normal_2,buffer,0.0,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,0.0,1.0,2048.340445850938,0.0,True,True,1.0,2.0,2.5,2.0,2.0,2.5,2.0,2.2,5,0.0,0.0
real_normal_2,uspl,0.0,0.0,0.0,0.0,2,19.509894085226687,19.509894085226687,2,,0.0,0.0,0.8572644466042583,1658.1425641464045,0.0,True,False,0.0,4.0,2.5,4.0,4.0,2.5,4.0,3.4,2,24.38736760653336,0.0
real_normal_3,fixed,0.0,0.0,0.0,0.0,1,39.73749595670083,39.73749595670083,1,3.0,3.0,0.0,0.60170147424726,794.7499191340166,3.0,True,True,0.6153580834434909,1.5,2.5,2.5,2.0,2.5,2.0,2.3,3,49.67186994587604,0.0
real_normal_3,twap,0.0,0.0,0.0,0.0,0,0.0,39.73749595670083,1,18.0,18.0,0.0,0.5498250471195534,794.7499191340166,18.0,True,True,0.4575911422293455,4.0,2.5,1.0,2.0,4.0,2.0,2.3,4,9.934373989175208,0.0
real_normal_3,buffer,0.0,0.0,0.0,0.0,1,39.73749595670083,39.73749595670083,1,3.0,3.0,0.0,0.60170147424726,794.7499191340166,3.0,True,True,0.6153580834434909,1.5,2.5,2.5,2.0,2.5,2.0,2.3,3,49.67186994587604,0.0
real_normal_3,uspl,0.0,0.0,0.0,0.0,2,44.08002871035826,44.08002871035826,2,2.0,2.0,0.0,0.5580049385852216,707.8992640608681,2.0,True,True,0.5424088577706546,3.0,2.5,4.0,4.0,1.0,4.0,3.1,2,55.100035887947826,0.0
real_drawdown_1,fixed,0.0,0.0,0.0,0.0,1,56.37729172266981,98.66026051467216,3,3.0,3.0,0.0,0.18991762690334907,281.886458613349,3.0,True,True,0.6800982904021404,3.0,2.0,3.0,2.0,3.0,1.0,2.2,2,81.04235685133784,0.0
real_drawdown_1,twap,0.2361111111111111,336.7111515111001,323.4251385169886,293.53821641555953,0,0.0,96.80476006939205,16,10.0,10.0,0.0,0.0,318.9964675189515,10.0,False,True,0.29882958389098757,4.0,4.0,1.0,1.0,4.0,4.0,2.8,2,24.20119001734801,407.60292639476364
