scenario_group,mechanism,window_count,solvency_violation_count,max_bad_debt,bad_debt_es95,false_liquidation_loss,total_user_loss,liquidation_count,avg_original_topsis,avg_mean_rank,eps5_pass_windows,eps5_excluded_windows,avg_feasible_topsis,avg_feasible_rank
drawdown,buffer,3,0,0.0,0.0,194.82553556576278,370.43654713690313,11,0.7314834128356115,2.1999999999999997,3,0,0.624759973339117,1.3333333333333333
drawdown,fixed,3,1,96.09218249141368,85.72675905477541,191.52550862843728,369.62299317876716,26,0.6592840241731135,2.533333333333333,2,1,0.6788361172655504,2.0
drawdown,twap,3,1,344.24834932812405,299.9620666045231,0.0,378.6291263189063,26,0.4659351038646012,2.8333333333333335,2,1,0.4852934168364992,4.0
drawdown,uspl,3,0,0.0,0.0,276.33396028178913,359.8573675361952,33,0.5223957813999336,2.4333333333333336,3,0,0.5038018608627785,2.3333333333333335
normal,buffer,3,0,0.0,0.0,0.0,0.0,0,0.0,2.5,3,0,0.0,2.5
normal,fixed,3,0,0.0,0.0,0.0,0.0,0,0.0,2.5,3,0,0.0,2.5
normal,twap,3,0,0.0,0.0,0.0,0.0,0,0.0,2.5,3,0,0.0,2.5
normal,uspl,3,0,0.0,0.0,0.0,0.0,0,0.0,2.5,3,0,0.0,2.5
oracle shock,buffer,3,0,0.0,0.0,105.04885533523431,105.04885533523431,3,0.0,3.1,3,0,0.0,3.6666666666666665
oracle shock,fixed,3,0,0.0,0.0,70.27375078588884,70.27375078588884,2,0.3333333333333333,2.6333333333333333,3,0,0.3333333333333333,2.8333333333333335
oracle shock,twap,3,0,0.0,0.0,0.0,0.0,0,1.0,1.7,3,0,1.0,1.1666666666666667
oracle shock,uspl,3,0,0.0,0.0,59.70134794077302,59.70134794077302,3,0.34255798706580043,2.5666666666666664,3,0,0.34255798706580043,2.3333333333333335
